Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Eumemmering Ck at Lyndhurst,6.12am Fri,2.54,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Dunlops Rd Drain at Braeside,6.11am Fri,1.72,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Patterson R at Whalers Cove,6.14am Fri,0.75,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Kananook Ck at Seaford,5.56am Fri,5.35,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Bunyip,Bunyip,Bunyip,Bunyip,Bunyip,Bunyip,2022-10-14 06:50:01.628932+11:00,VIC
Bunyip R d/s Headworks,6.10am Fri,3.96,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Tonimbuk,6.01am Fri,4.84,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Tarago R at Neerim South,6.06am Fri,3.59,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Bunyip R at Longwarry North,6.10am Fri,2.71,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Iona,6.10am Fri,1.92,rising,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Bunyip R at Cora Lynn Ford,6.13am Fri,3.03,rising,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Bunyip R Kooweerup,6.04am Fri,1.77,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Lang Lang R at Yannathan,6.01am Fri,1.87,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Deep Ck at Pakenham,6.15am Fri,4.33,falling,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Kennedy Ck at Pakenham,5.59am Fri,0.82,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Toomuc Ck at Pakenham,5.53am Fri,0.57,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Gumscrub Ck at Officer,6.09am Fri,1.84,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Cardinia Ck at Cardinia,6.11am Fri,1.72,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
