Site,Site name,Lat,Lon,Rank
43095,Namarah,-27.3867,149.3877,1
43097,Teelba,-27.7642,149.3972,1
43099,Springfield,-26.82,148.0244,1
43100,Old Cashmere Tm,-27.7333,148.4667,1
43101,Weribone Tm,-27.3117,148.8267,1
43102,Mitchell Tm,-26.49,147.9792,1
43105,Tabers Tm,-26.4083,148.7833,1
43107,Warroo,-27.645,148.7411,1
40785,Carole Park Alert,-27.6017,152.9511,1
529024,Dunbar Tm,-15.9508,142.3772,1
40784,Calamvale Alert,-27.615,153.0444,1
40777,Imbil Alert,-26.4572,152.6803,1
36011,Marengo,-22.2067,145.0083,1
36013,Camoola Park,-23.0394,144.5194,1
36022,Evesham Station,-23.0311,143.7117,1
36023,Holmleigh,-21.5119,144.6339,1
36025,Isis Downs,-24.2217,144.6325,1
36026,Isisford Post Office,-24.2591,144.4406,1
36028,Lerida,-22.176,144.0493,1
36031,Longreach Aero,-23.4397,144.2828,1
36034,Blackall Airport,-24.4303,145.4306,1
36010,Bulliwallah,-21.6144,146.6344,1
36036,Lochnagar,-23.6232,145.703,1
36040,Springleigh,-24.5617,144.7183,1
36050,Ulcanbah,-22.0231,145.9831,1
36054,Evora Station,-24.0825,145.5092,1
36056,Landsborough Downs,-21.5114,144.3989,1
36074,Jochmus,-22.3022,145.99,1
36076,Eastmere,-22.5017,145.9183,1
36081,Thornleigh,-24.3231,144.9092,1
36083,Albro Station,-22.7044,146.5694,1
36084,Banchory,-22.8072,147.1317,1
36037,Muttaburra,-22.595,144.5469,1
36094,Wahroongha,-24.4464,144.1094,1
36007,Barcaldine Post Office,-23.5544,145.2883,1
36004,Aramac Post Office,-22.9717,145.245,1
35206,Bungawarra,-24.455,148.9597,1
35225,Cardbeign,-24.2897,148.1053,1
35229,Alpha,-23.65,146.645,1
35241,Fairbairn Dam,-23.6525,148.0744,1
35242,Bungaban Tm,-25.8986,150.1297,1
35251,Craigmore Al,-23.8847,147.7569,1
35264,Emerald Airport,-23.5694,148.1756,1
35269,Yakcam,-23.47,148.66,1
35273,Chilgerrie Hill,-25.8544,149.7919,1
36006,Eversleigh,-21.7117,144.3928,1
35274,Juanita,-23.8467,148.1083,1
35276,Springsure Creek Junction Al,-23.8564,148.5036,1
35282,Taroom Tm,-25.6377,149.7895,1
35283,Drensmaine,-25.2117,146.4817,1
35286,Glencoe,-23.7122,146.1675,1
35289,Mt Playfair,-24.8639,146.9478,1
35292,Ducabrook Al,-23.8533,147.3997,1
35294,Kulumur Range Alert,-23.8039,147.7692,1
35295,Bingegang Weir Hw Alert,-23.0733,149.035,1
36003,Birricannia,-21.9089,144.6694,1
35275,Islay Plains,-23.2103,146.8781,1
35205,Woorarra,-24.0247,147.9208,1
36102,Barcaldine Downs,-23.7161,145.1303,1
36127,Sunbury,-24.6017,143.8314,1
37046,Elderslie,-22.2903,142.4731,1
37049,Warnambool Downs,-22.8131,142.8325,1
37052,Mundurin Station,-22.8792,141.8364,1
37053,Carters Bore,-20.9358,139.2964,1
37056,Mahrigong,-22.263,143.7454,1
37057,Bushy Park,-21.2622,139.7247,1
37058,Urandangi Aerodrome,-21.5979,138.3665,1
37059,New May Downs,-20.59,139.3411,1
37061,Cotswold Hills,-22.545,142.6683,1
37043,Urandangi,-21.6119,138.3136,1
37063,Glenlyon Station,-21.34,142.9286,1
37079,Tranby,-22.6612,142.3928,1
37091,Warra Station,-23.1214,140.5683,1
37101,Denton,-22.9533,143.5553,1
37104,Weona,-23.0625,142.8201,1
37105,Belmont,-22.0792,143.5111,1
37106,Phosphate Hill,-21.8831,139.9728,1
37107,The Monument,-21.7635,139.9151,1
37109,Alderley Station,-22.4936,139.6615,1
37115,Rocklands,-19.8608,138.1018,1
37073,Westerton,-24.0424,142.8311,1
36123,Rotherfield,-23.6064,144.4757,1
37041,Stradbroke Station,-21.5647,139.7231,1
37039,Winton Airport,-22.3617,143.0836,1
36134,Moorlands,-24.3972,145.0694,1
36137,Listowel Downs,-25.2011,145.2269,1
36139,Surbiton Station,-22.9856,146.6189,1
36143,Blackall Township,-24.4214,145.4672,1
36144,Terrick Terrick,-24.7361,145.0731,1
36160,Frankfield Station,-22.2717,147.0903,1
36161,Longreach Tm,-23.4167,144.2333,1
36172,Gue,-21.9667,144.3333,1
37000,Alni,-22.1542,142.49,1
37040,Stonehenge,-24.3514,143.2881,1
37003,Barkly Downs,-20.4661,138.4683,1
37009,Mackunda Downs,-22.3736,141.2853,1
37010,Camooweal Township,-19.9225,138.1214,1
37011,Carandotta Station,-21.9714,138.6117,1
37019,Duchess Hotel,-21.3564,139.8653,1
37024,Headingly Station,-21.3225,138.2906,1
37025,Katandra,-21.55,143.8031,1
37030,Malboona,-21.8886,143.6019,1
37034,The Monument Airport,-21.8125,139.9267,1
37036,Trepell Airport,-21.84,140.8925,1
37006,Bladensburg,-22.515,143.0386,1
37116,Woodstock Station,-22.2583,141.9464,1
35194,Wyseby,-24.9606,148.5311,1
