Date,Mean,Qual,Cutoff,Site
2022-10-01 17:00:00,0.739,2,2022-10-01,405325
2022-10-01 18:00:00,0.734,2,2022-10-01,405325
2022-10-01 19:00:00,0.73,2,2022-10-01,405325
2022-10-01 20:00:00,0.726,2,2022-10-01,405325
2022-10-01 21:00:00,0.721,2,2022-10-01,405325
2022-10-01 22:00:00,0.716,2,2022-10-01,405325
2022-10-01 23:00:00,0.713,2,2022-10-01,405325
2022-11-01 00:00:00,0.71,2,2022-11-01,405325
2022-11-01 01:00:00,0.708,2,2022-11-01,405325
2022-11-01 02:00:00,0.706,2,2022-11-01,405325
2022-11-01 03:00:00,0.704,2,2022-11-01,405325
2022-11-01 04:00:00,0.703,2,2022-11-01,405325
2022-11-01 05:00:00,0.703,2,2022-11-01,405325
2022-11-01 06:00:00,0.7,2,2022-11-01,405325
2022-11-01 07:00:00,0.696,2,2022-11-01,405325
2022-11-01 08:00:00,0.694,2,2022-11-01,405325
2022-11-01 09:00:00,0.693,2,2022-11-01,405325
2022-11-01 10:00:00,0.696,2,2022-11-01,405325
2022-11-01 11:00:00,0.697,2,2022-11-01,405325
2022-11-01 12:00:00,0.696,2,2022-11-01,405325
2022-11-01 13:00:00,0.692,2,2022-11-01,405325
2022-11-01 14:00:00,0.691,2,2022-11-01,405325
2022-11-01 15:00:00,0.689,2,2022-11-01,405325
2022-11-01 16:00:00,0.687,2,2022-11-01,405325
2022-11-01 17:00:00,0.684,2,2022-11-01,405325
2022-11-01 18:00:00,0.682,2,2022-11-01,405325
2022-11-01 19:00:00,0.68,2,2022-11-01,405325
2022-11-01 20:00:00,0.679,2,2022-11-01,405325
2022-11-01 21:00:00,0.678,2,2022-11-01,405325
2022-11-01 22:00:00,0.678,2,2022-11-01,405325
2022-11-01 23:00:00,0.679,2,2022-11-01,405325
2022-12-01 00:00:00,0.679,2,2022-12-01,405325
2022-12-01 01:00:00,0.679,2,2022-12-01,405325
2022-12-01 02:00:00,0.678,2,2022-12-01,405325
2022-12-01 03:00:00,0.676,2,2022-12-01,405325
2022-12-01 04:00:00,0.673,2,2022-12-01,405325
2022-12-01 05:00:00,0.669,2,2022-12-01,405325
2022-12-01 06:00:00,0.663,2,2022-12-01,405325
2022-12-01 07:00:00,0.661,2,2022-12-01,405325
2022-12-01 08:00:00,0.66,2,2022-12-01,405325
2022-12-01 09:00:00,0.662,2,2022-12-01,405325
2022-12-01 10:00:00,0.662,2,2022-12-01,405325
2022-12-01 11:00:00,0.662,2,2022-12-01,405325
2022-12-01 12:00:00,0.659,2,2022-12-01,405325
2022-12-01 13:00:00,0.658,2,2022-12-01,405325
