Date,Site,Station name,Mean,Lat,Lon
2022-10-13 22:00:00,407205,Loddon River @ Appin South,3.115,-35.924326460,143.871882200
2022-10-13 23:00:00,407205,Loddon River @ Appin South,3.115,-35.924326460,143.871882200
2022-10-14 00:00:00,407205,Loddon River @ Appin South,3.116,-35.924326460,143.871882200
2022-10-14 01:00:00,407205,Loddon River @ Appin South,3.117,-35.924326460,143.871882200
2022-10-14 02:00:00,407205,Loddon River @ Appin South,3.118,-35.924326460,143.871882200
2022-10-14 03:00:00,407205,Loddon River @ Appin South,3.119,-35.924326460,143.871882200
2022-10-14 04:00:00,407205,Loddon River @ Appin South,3.12,-35.924326460,143.871882200
2022-10-14 05:00:00,407205,Loddon River @ Appin South,3.121,-35.924326460,143.871882200
2022-10-14 06:00:00,407205,Loddon River @ Appin South,3.123,-35.924326460,143.871882200
2022-10-14 07:00:00,407205,Loddon River @ Appin South,3.125,-35.924326460,143.871882200
2022-10-14 08:00:00,407205,Loddon River @ Appin South,3.127,-35.924326460,143.871882200
2022-10-14 09:00:00,407205,Loddon River @ Appin South,3.129,-35.924326460,143.871882200
2022-10-14 10:00:00,407205,Loddon River @ Appin South,3.132,-35.924326460,143.871882200
2022-10-14 11:00:00,407205,Loddon River @ Appin South,3.134,-35.924326460,143.871882200
2022-10-14 12:00:00,407205,Loddon River @ Appin South,3.137,-35.924326460,143.871882200
2022-10-14 13:00:00,407205,Loddon River @ Appin South,3.139,-35.924326460,143.871882200
2022-10-14 14:00:00,407205,Loddon River @ Appin South,3.142,-35.924326460,143.871882200
2022-10-14 15:00:00,407205,Loddon River @ Appin South,3.145,-35.924326460,143.871882200
2022-10-14 16:00:00,407205,Loddon River @ Appin South,3.148,-35.924326460,143.871882200
2022-10-14 17:00:00,407205,Loddon River @ Appin South,3.15,-35.924326460,143.871882200
2022-10-14 18:00:00,407205,Loddon River @ Appin South,3.153,-35.924326460,143.871882200
2022-10-14 19:00:00,407205,Loddon River @ Appin South,3.156,-35.924326460,143.871882200
2022-10-14 20:00:00,407205,Loddon River @ Appin South,3.16,-35.924326460,143.871882200
2022-10-14 21:00:00,407205,Loddon River @ Appin South,3.164,-35.924326460,143.871882200
2022-10-14 22:00:00,407205,Loddon River @ Appin South,3.168,-35.924326460,143.871882200
2022-10-14 23:00:00,407205,Loddon River @ Appin South,3.172,-35.924326460,143.871882200
2022-10-15 00:00:00,407205,Loddon River @ Appin South,3.177,-35.924326460,143.871882200
2022-10-15 01:00:00,407205,Loddon River @ Appin South,3.181,-35.924326460,143.871882200
2022-10-15 02:00:00,407205,Loddon River @ Appin South,3.185,-35.924326460,143.871882200
2022-10-15 03:00:00,407205,Loddon River @ Appin South,3.19,-35.924326460,143.871882200
2022-10-15 04:00:00,407205,Loddon River @ Appin South,3.195,-35.924326460,143.871882200
2022-10-15 05:00:00,407205,Loddon River @ Appin South,3.199,-35.924326460,143.871882200
2022-10-15 06:00:00,407205,Loddon River @ Appin South,3.204,-35.924326460,143.871882200
2022-10-15 07:00:00,407205,Loddon River @ Appin South,3.209,-35.924326460,143.871882200
2022-10-15 08:00:00,407205,Loddon River @ Appin South,3.214,-35.924326460,143.871882200
