Station Name,Time/Day,Height,Tendency,Flood Class,Scraped,State
Shoalhaven R at Nowra (AHD),2.45pm Thu,0.61,falling,below minor,2022-10-13 15:21:38.985233+11:00,NSW
Shoalhaven R at Grassy Gully,2.00pm Thu,3.02,falling,,2022-10-13 15:21:38.985233+11:00,NSW
Danjera Ck U/S Dam,12.33pm Thu,0.03,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Danjera Ck at Danjera Dam,3.06pm Thu,0.32,falling,,2022-10-13 15:21:38.985233+11:00,NSW
Shoalhaven R at Tallowa Dam,2.00pm Thu,0.28,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Kangaroo R at Hampden Br,1.28pm Thu,0.78,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Shoalhaven R at Fossickers Flat,2.30pm Thu,2.24,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Shoalhaven R at Hillview,2.00pm Thu,2.16,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Mongarlowe R at Mongarlowe,2.15pm Thu,1.31,steady,,2022-10-13 15:21:38.985233+11:00,NSW
R Murray at Lyrup Pump Stn (DEW),2.00pm Thu,14.83,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 4 (DEW),2.00pm Thu,13.99,rising,below minor,2022-10-13 15:21:38.985233+11:00,SA
Araluen Ck at Neringla Rd,3.00pm Thu,0.81,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Light R at Mingays Waterhole(DEW),2.05pm Thu,1.15,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Gilbert R at Saddleworth (DEW),2.05pm Thu,1.15,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Gilbert R at Stockport (DEW),2.00pm Thu,1.27,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Light R upsteam of Mallala (DEW),2.10pm Thu,1.22,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Light R US School Road (DEW),2.05pm Thu,0.85,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Moa Island (Kubin) Tide,1.39pm Thu,2.52,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Thursday Island Tide,1.38pm Thu,2.38,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Iama Island Tide,1.42pm Thu,2.93,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Boigu Island Tide,1.34pm Thu,2.77,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Ugar Island Tide,1.37pm Thu,2.68,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Jardine R at Monument,1.00pm Thu,1.64,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Dulhunty River,1.00pm Thu,0.82,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Wenlock R at Moreton,1.00pm Thu,2.31,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Humbug Point (Weipa) Tide,1.39pm Thu,1.85,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Coen R at Coen Racecourse,1.00pm Thu,1.44,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Archer R at Telegraph Crossing,1.00pm Thu,2.76,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Mitchell R at Dunbar,1.00pm Thu,1.96,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Palmer R at Goldfields,1.00pm Thu,1.33,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Mitchell R at Gamboola,1.00pm Thu,1.07,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Walsh R at Trimbles Crossing,1.00pm Thu,0.72,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Walsh R at Rookwood,1.00pm Thu,1.69,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Walsh R at Flatrock,1.00pm Thu,1.73,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Walsh R at Nullinga,1.00pm Thu,0.88,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Mitchell R at OK Bridge,1.00pm Thu,2.27,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Mitchell R at Cooktown Crossing,1.00pm Thu,0.76,steady,,2022-10-13 15:21:38.985233+11:00,QLD
McLeod R at Mulligan Highway,1.00pm Thu,0.93,falling,,2022-10-13 15:21:38.985233+11:00,QLD
Bushy Ck at Mt Molloy Rd,1.35pm Thu,-1.80,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Staaten R at Dorunda,1.00pm Thu,0.45,steady,,2022-10-13 15:21:38.985233+11:00,QLD
Light R at Hamley Bridge (DEW),2.05pm Thu,1.04,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Julia Ck near Hansborough (DEW),2.05pm Thu,1.04,steady,,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 4 (DEW),2.00pm Thu,13.94,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Light R near Hamilton (DEW),2.05pm Thu,1.04,steady,,2022-10-13 15:21:38.985233+11:00,SA
R Murray at Loxton Pump Stn (DEW),12.05pm Thu,12.67,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 3 (DEW),2.00pm Thu,9.82,rising,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 3 (DEW),2.00pm Thu,9.67,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Overland Corner (DEW),2.00pm Thu,9.08,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 2 (DEW),2.05pm Thu,6.92,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 2 (DEW),2.05pm Thu,6.88,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 1 (DEW),1.55pm Thu,3.29,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 1 (DEW),2.00pm Thu,3.31,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray at Swan Reach 3km DS Ferry,2.05pm Thu,2.09,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Marne River at Marne Gorge (DEW),12.55pm Thu,1.12,steady,,2022-10-13 15:21:38.985233+11:00,SA
R Murray at Walker Flat (DEW),2.05pm Thu,1.36,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray at Mannum Wharf (DEW),2.05pm Thu,0.90,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray at Murray Bridge/Long Is.,2.05pm Thu,0.74,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
R Murray 2km DS Wellington ferry,2.10pm Thu,0.76,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
L Alexandrina at Milang Jetty (DEW),2.00pm Thu,0.67,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Lake Albert at Meningie Jetty (DEW),2.00pm Thu,0.74,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Goolwa Channel 2km West of Clayton,2.05pm Thu,0.64,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Goolwa Channel DS Hindmarsh Bridge,2.05pm Thu,0.62,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
US Goolwa Barrage (DEW),2.05pm Thu,0.63,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
DS Goolwa Barrage (DEW),2.05pm Thu,0.58,rising,below minor,2022-10-13 15:21:38.985233+11:00,SA
Tauwitchere Barrage (DEW),2.00pm Thu,0.64,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Wakefield R at Taylors VY (DEW),2.05pm Thu,0.94,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Eyre Creek at Auburn (DEW),2.05pm Thu,0.67,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Skillogalee Ck at Goodonga (DEW),2.05pm Thu,1.06,steady,,2022-10-13 15:21:38.985233+11:00,SA
Wakefield R at Rhynie (DEW),2.05pm Thu,1.10,steady,,2022-10-13 15:21:38.985233+11:00,SA
Wakefield R US Balaklava (DEW),2.05pm Thu,1.04,steady,,2022-10-13 15:21:38.985233+11:00,SA
Wakefield R at Pt Wakefield R (DEW),2.05pm Thu,1.14,steady,,2022-10-13 15:21:38.985233+11:00,SA
HMAS Creswell(Jervis Bay),2.46pm Thu,1.02,falling,,2022-10-13 15:21:38.985233+11:00,NSW
Deua R at Riverview,3.00pm Thu,1.79,steady,below minor,2022-10-13 15:21:38.985233+11:00,NSW
Einasleigh R at Minnies Dip,1.00pm Thu,1.62,rising,,2022-10-13 15:21:38.985233+11:00,QLD
Torrens R at Gumeracha Weir (SAW),2.35pm Thu,10.06,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Cudlee Ck at Lobethal Rd,12.58pm Thu,0.10,steady,,2022-10-13 15:21:38.985233+11:00,SA
Torrens R DS Hollands Ck (DEW),2.00pm Thu,1.25,steady,,2022-10-13 15:21:38.985233+11:00,SA
Kangaroo Creek Resv Dam (SAW),2.35pm Thu,43.50,steady,,2022-10-13 15:21:38.985233+11:00,SA
Sixth Ck at Castambul,1.58pm Thu,0.25,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Torrens R at Gorge Weir,12.13pm Thu,9.11,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Torrens R at Gorge Weir (SAW),2.35pm Thu,9.13,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Fifth Ck at Athelstone,1.26pm Thu,0.27,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Second Ck at Stonyfell,12.14pm Thu,0.08,steady,,2022-10-13 15:21:38.985233+11:00,SA
Torrens R at Walkerville (DEW),2.05pm Thu,1.43,steady,,2022-10-13 15:21:38.985233+11:00,SA
First Ck at Waterfall Gully Rd,12.44pm Thu,0.42,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
First Ck at Botanic Gdns (DEW),2.05pm Thu,1.08,steady,,2022-10-13 15:21:38.985233+11:00,SA
Torrens R at Holbrooks Rd (DEW),2.00pm Thu,1.48,steady,,2022-10-13 15:21:38.985233+11:00,SA
Torrens R at Seaview Rd (DEW),2.00pm Thu,0.28,steady,,2022-10-13 15:21:38.985233+11:00,SA
Dry Ck at Valley View (DEW),2.00pm Thu,1.13,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Dry Ck at Bridge Rd (DEW),1.50pm Thu,1.17,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Little Para Reservoir (SAW),2.35pm Thu,12.29,steady,,2022-10-13 15:21:38.985233+11:00,SA
Little Para R US Fault (DEW),2.05pm Thu,1.52,steady,,2022-10-13 15:21:38.985233+11:00,SA
Tide level at Pt Adelaide (Osborne),2.34pm Thu,0.93,rising,below minor,2022-10-13 15:21:38.985233+11:00,SA
Keswick Ck at Victoria Park,2.39pm Thu,0.03,falling,,2022-10-13 15:21:38.985233+11:00,SA
Keswick Ck at Unley (Roberts Place),12.36pm Thu,0.14,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Keswick Ck at Army Barracks,1.09pm Thu,0.19,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Brownhill Ck at Mitcham (DEW),2.05pm Thu,1.16,steady,,2022-10-13 15:21:38.985233+11:00,SA
Brownhill Ck at Heywood Park,2.33pm Thu,0.10,steady,,2022-10-13 15:21:38.985233+11:00,SA
Brownhill Ck at Adelaide Ap (DEW),2.05pm Thu,0.15,steady,,2022-10-13 15:21:38.985233+11:00,SA
Sturt Ck at Coromandel Valley,12.46pm Thu,0.17,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Sturt Ck DS Minno Ck (DEW),2.05pm Thu,1.20,steady,,2022-10-13 15:21:38.985233+11:00,SA
Sturt Ck at Sturt Dam,2.34pm Thu,0.16,falling,below minor,2022-10-13 15:21:38.985233+11:00,SA
Torrens R at Gumeracha Weir (BOM),1.20pm Thu,10.01,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Millers Ck at Forreston,2.35pm Thu,0.08,steady,,2022-10-13 15:21:38.985233+11:00,SA
Sturt Ck at Novar Gardens (DEW),1.50pm Thu,1.20,falling,,2022-10-13 15:21:38.985233+11:00,SA
Angas Ck at Muellers Rd,1.06pm Thu,0.11,rising,,2022-10-13 15:21:38.985233+11:00,SA
Daly R at Beeboom Crossing,12.00pm Thu,0.80,steady,,2022-10-13 15:21:38.985233+11:00,NT
Daly R at Gourley,12.00pm Thu,1.53,steady,,2022-10-13 15:21:38.985233+11:00,NT
Daly R at Mount Nancar,12.45pm Thu,1.72,steady,,2022-10-13 15:21:38.985233+11:00,NT
Daly R at Daly R Police Station,8.45am Thu,1.28,steady,below minor,2022-10-13 15:21:38.985233+11:00,NT
Rapid Creek,1.20pm Thu,0.95,steady,below minor,2022-10-13 15:21:38.985233+11:00,NT
Elizabeth R at Stuart Highway,1.10pm Thu,-0.59,steady,,2022-10-13 15:21:38.985233+11:00,NT
Adelaide R East Branch,12.00pm Thu,1.63,steady,,2022-10-13 15:21:38.985233+11:00,NT
Adelaide R West Branch,1.00pm Thu,1.10,steady,,2022-10-13 15:21:38.985233+11:00,NT
Adelaide R at Adelaide River Town,1.10pm Thu,1.48,steady,below minor,2022-10-13 15:21:38.985233+11:00,NT
Adelaide R at Tortilla Flats,12.45pm Thu,0.73,steady,,2022-10-13 15:21:38.985233+11:00,NT
Adelaide R at Marrakai Crossing,1.15pm Thu,1.34,steady,,2022-10-13 15:21:38.985233+11:00,NT
Adelaide R at Dirty Lagoon,1.30pm Thu,4.33,rising,,2022-10-13 15:21:38.985233+11:00,NT
Adelaide R at Arnhem Highway,1.14pm Thu,1.74,falling,,2022-10-13 15:21:38.985233+11:00,NT
Goyder R u/s Central Arnhem Rd,12.00pm Thu,1.61,steady,,2022-10-13 15:21:38.985233+11:00,NT
Waterhouse R d/s of Diljin Hill,12.00pm Thu,1.40,steady,,2022-10-13 15:21:38.985233+11:00,NT
Waterhouse R at Beswick Bridge,12.45pm Thu,1.12,steady,below minor,2022-10-13 15:21:38.985233+11:00,NT
Wilton R at Roper Highway,12.00pm Thu,1.47,steady,,2022-10-13 15:21:38.985233+11:00,NT
Roper R downstream of Mataranka,1.15pm Thu,0.36,steady,,2022-10-13 15:21:38.985233+11:00,NT
McArthur R at Baileys Grave,9.00am Thu,0.23,steady,,2022-10-13 15:21:38.985233+11:00,NT
McArthur R at MRM,12.45pm Thu,1.12,steady,,2022-10-13 15:21:38.985233+11:00,NT
McArthur R at Borroloola,11.45am Thu,1.08,steady,below minor,2022-10-13 15:21:38.985233+11:00,NT
Todd R at Wigley Gorge,11.10am Thu,0.13,falling,below minor,2022-10-13 15:21:38.985233+11:00,NT
Charles R at Big Dipper,1.10pm Thu,0.21,steady,,2022-10-13 15:21:38.985233+11:00,NT
Todd R at Anzac Oval,11.43am Thu,0.39,steady,below minor,2022-10-13 15:21:38.985233+11:00,NT
Todd R at Heavitree Gap,12.40pm Thu,-0.25,steady,,2022-10-13 15:21:38.985233+11:00,NT
Torrens R at Mt Pleasant (DEW),2.05pm Thu,1.16,steady,,2022-10-13 15:21:38.985233+11:00,SA
Torrens R at Mt Pleasant (SAW),2.35pm Thu,1.16,steady,,2022-10-13 15:21:38.985233+11:00,SA
Sturt Ck at Marion (Marion Rd),2.12pm Thu,0.25,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Onkaparinga R at Charleston,11.55am Thu,0.07,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Moruya R at Moruya,2.45pm Thu,0.21,falling,below minor,2022-10-13 15:21:38.985233+11:00,NSW
Cooper Ck at Nappa Merrie,1.00pm Thu,1.51,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Cooper Ck NW Ch US Coongie L(DEW),2.00pm Thu,3.82,steady,,2022-10-13 15:21:38.985233+11:00,SA
Diamantina R at Birdsville (DEW),1.35pm Thu,1.24,steady,,2022-10-13 15:21:38.985233+11:00,SA
Warburton R at PoothapootaWH (DEW),2.00pm Thu,0.84,steady,,2022-10-13 15:21:38.985233+11:00,SA
Neales R South Stewart WH (DEW),12.00pm Thu,5.93,steady,,2022-10-13 15:21:38.985233+11:00,SA
Neales R Algebuckina WH (DEW),12.00pm Thu,4.74,steady,,2022-10-13 15:21:38.985233+11:00,SA
Delegate R at Quidong,3.00pm Thu,0.77,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Little Plains R at Wellesley,3.00pm Thu,0.80,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Eden Boat Harbour,2.46pm Thu,0.72,falling,,2022-10-13 15:21:38.985233+11:00,NSW
Towamba R at Towamba,3.00pm Thu,0.99,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Pambula R at Lochiel,3.00pm Thu,0.87,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Merimbula Lake at Wharf,2.45pm Thu,0.04,falling,,2022-10-13 15:21:38.985233+11:00,NSW
Bega R at Bega North,3.00pm Thu,1.04,steady,below minor,2022-10-13 15:21:38.985233+11:00,NSW
Bega River Entrance,2.45pm Thu,0.29,falling,,2022-10-13 15:21:38.985233+11:00,NSW
Bega R at Kanoona,3.00pm Thu,1.82,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Tantawangalo Ck at Candelo Damsite,3.00pm Thu,0.76,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Bemboka R at Morans Crossing,3.00pm Thu,1.09,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Brogo R at Angledale,3.00pm Thu,1.37,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Double Ck near Brogo,3.00pm Thu,1.05,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Brogo R at North Brogo,3.00pm Thu,1.61,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Brogo Dam,3.00pm Thu,102.84,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Bermagui R at Boat Harbour,2.46pm Thu,0.54,falling,,2022-10-13 15:21:38.985233+11:00,NSW
Wallaga Lake at Regatta Pt,2.45pm Thu,0.31,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Wagonga R at Barlows Bay,2.45pm Thu,0.25,falling,,2022-10-13 15:21:38.985233+11:00,NSW
Tuross R at Eurobodalla,3.00pm Thu,2.13,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Tuross R D/S Wadbilliga Junct,3.00pm Thu,0.92,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Wadbilliga R at Wadbilliga,3.00pm Thu,1.27,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Tuross R at Tuross Vale,12.00pm Thu,0.73,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Cooper Ck at Cullyamurra WH (DEW),1.50pm Thu,2.00,steady,,2022-10-13 15:21:38.985233+11:00,SA
Hutt R at Clare Car. Park (DEW),2.10pm Thu,1.02,steady,,2022-10-13 15:21:38.985233+11:00,SA
Onkaparinga R at Woodside,1.59pm Thu,0.17,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Mclaughlin R at The Hut,5.00am Thu,0.55,steady,,2022-10-13 15:21:38.985233+11:00,NSW
Western Branch Creek at Tiers Rd,2.29pm Thu,0.05,steady,,2022-10-13 15:21:38.985233+11:00,SA
Inverbrackie Creek,2.22pm Thu,0.09,steady,,2022-10-13 15:21:38.985233+11:00,SA
Lenswood Creek at Swamp Rd,2.20pm Thu,0.19,steady,,2022-10-13 15:21:38.985233+11:00,SA
Onkaparinga R at Oakbank,2.04pm Thu,0.04,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Hahndorf Creek US Onka. R (DEW),2.05pm Thu,1.13,steady,,2022-10-13 15:21:38.985233+11:00,SA
Onkaparinga R DS Hahndorf Ck(DEW),2.05pm Thu,1.30,steady,,2022-10-13 15:21:38.985233+11:00,SA
Onkaparinga R at Verdun (SAW),2.35pm Thu,-0.19,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Cox Creek at Piccadilly (DEW),2.05pm Thu,1.13,steady,,2022-10-13 15:21:38.985233+11:00,SA
Aldgate Creek at Euston Rd,2.28pm Thu,0.39,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Onkaparinga R at Houlgraves (SAW),2.35pm Thu,3.45,steady,,2022-10-13 15:21:38.985233+11:00,SA
Burnt Out Ck US Mt Bold Res (DEW),2.05pm Thu,1.03,steady,,2022-10-13 15:21:38.985233+11:00,SA
Mt Bold Reservoir (SAW),2.35pm Thu,40.43,steady,,2022-10-13 15:21:38.985233+11:00,SA
Scott Creek (SAW),2.35pm Thu,1.40,steady,,2022-10-13 15:21:38.985233+11:00,SA
Scott Creek (DEW),2.05pm Thu,1.40,steady,,2022-10-13 15:21:38.985233+11:00,SA
Onkaparinga R at Clarendon W (SAW),2.35pm Thu,9.13,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Onkaparinga R at Clarendon W (BOM),1.11pm Thu,9.19,steady,below minor,2022-10-13 15:21:38.985233+11:00,SA
Onkaparinga R DS Clarendon W(DEW),2.05pm Thu,1.19,steady,,2022-10-13 15:21:38.985233+11:00,SA
Onkaparinga R at Baker Gully(DEW),2.10pm Thu,1.37,steady,,2022-10-13 15:21:38.985233+11:00,SA
Onkapar. R at Old Noarlunga (DEW),2.00pm Thu,1.15,steady,,2022-10-13 15:21:38.985233+11:00,SA
Onkaparinga R at Patapinda Rd Br,2.00pm Thu,0.83,steady,,2022-10-13 15:21:38.985233+11:00,SA
Pedler Ck at Stump Hill Rd (DEW),2.05pm Thu,1.11,rising,,2022-10-13 15:21:38.985233+11:00,SA
Pedler Ck at Moana (DEW),2.00pm Thu,0.00,steady,,2022-10-13 15:21:38.985233+11:00,SA
Myponga R US Resv (SAW),2.35pm Thu,1.57,steady,,2022-10-13 15:21:38.985233+11:00,SA
Snowy R at Mckillops Br,6.20pm Wed,2.57,,,2022-10-13 15:21:38.985233+11:00,NSW
Bombala R at Bombala,3.00pm Thu,1.26,steady,below minor,2022-10-13 15:21:38.985233+11:00,NSW
