Site,Site name,Lat,Lon
022017,Stansbury,-34.9122,137.7977
022018,Warooka,-34.9906,137.3995
022020,Wallaroo,-33.9282,137.6399
022021,Ardrossan,-34.2782,137.8607
022022,Port Clinton,-34.1447,138.0146
022023,Yorketown,-35.0185,137.5999
022031,Minlaton Aero,-34.7480,137.5276
022033,Ardrossan,-34.4724,137.8850
022036,Minlaton,-34.7487,137.6303
022037,Petersville,-34.3687,137.7968
022044,Port Clinton,-34.2390,137.9883
022046,Edithburgh,-35.1121,137.7395
022048,Wigton Flat,-34.3166,137.9139
022049,Stenhouse Bay,-35.2795,136.9392
022050,Kadina Aws,-33.9703,137.6628
022052,Spicer Flat,-34.6960,137.5745
022053,Moonta,-34.0041,137.5280
022054,Pine Point,-34.5552,137.8581
022055,Curramulka North Rndsup,-34.6492,137.7272
022056,Maitland,-34.4020,137.7185
022058,Weetulta,-34.2287,137.6421
022800,American River,-35.7829,137.7697
022803,Cape Willoughby,-35.8426,138.1327
022806,Murrays Lagoon,-35.9270,137.2918
022807,Kingscote,-35.6560,137.6377
022808,Kingscote,-35.8213,137.5297
022809,Penneshaw,-35.7201,137.9338
022811,Smith Bay,-35.5989,137.4386
022815,Parndana,-35.7255,137.2591
022817,Flinders Chase,-35.9511,136.7390
022820,Rocky River,-35.8903,136.8606
022822,Murray Lagoon,-35.9041,137.4542
022823,Cape Borda,-35.7549,136.5959
022831,American River,-35.7501,137.7217
022835,Parndana,-35.7340,137.1212
022836,Pelican Lagoon,-35.8096,137.7920
022837,Parndana,-35.7906,137.2616
022839,Vivonne Bay,-35.9609,137.0910
022841,Kingscote Aero,-35.7114,137.5231
022842,Cape Cassini Wilderness Retreat,-35.5976,137.2874
022843,Parndana Cfs Aws,-35.7916,137.2496
023000,Adelaide,-34.9257,138.5832
023001,Adelaide,-35.0199,138.5200
023005,Adelaide,-34.9464,138.6519
023009,Mallala,-34.4382,138.5115
023011,North Adelaide,-34.9163,138.5950
023012,Owen,-34.2711,138.5468
023013,Parafield Airport,-34.7977,138.6281
023021,Roseworthy,-34.5353,138.7506
023023,Adelaide,-34.7674,138.6434
023024,Adelaide,-34.8965,138.5103
023026,Adelaide,-34.8324,138.6125
023028,Two Wells,-34.5953,138.5156
023034,Adelaide Airport,-34.9524,138.5196
023039,Rhynie,-34.1856,138.6300
023042,Burnside,-34.9387,138.6607
023043,Halbury Road Salisbury,-34.7607,138.6311
023052,Outer Harbour,-34.7343,138.4653
023055,Adelaide Airport Alert,-34.9517,138.5214
023076,Port Parham,-34.4320,138.2587
023078,Gawler Council Depot,-34.5915,138.7393
