Station Name,Time/Day,Height,Tendency,Flood Class,Scraped,State
Bennetts Rd (Coffs Harbour),3.40pm Thu,0.50,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Back Ck at Bentley,3.00pm Thu,0.80,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Byron Bay (Belongil Ck Br),3.41pm Thu,0.64,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Byron Bay (Tallow Ck Br),2.57pm Thu,1.36,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Brunswick R at Brunswick Heads,3.16pm Thu,-0.04,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Brunswick R at Mullumbimby,3.42pm Thu,0.08^,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Mullumbimby Ck at Azalea St Bridge,3.42pm Thu,0.18,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Mullumbimby Ck at Mullumbimby Creek,1.20pm Thu,0.31,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Brunswick R at Sherrys Br,3.28pm Thu,0.69,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Marshalls Ck at Ocean Shores,3.16pm Thu,0.29,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Macintyre R at Wallangra,2.00pm Thu,1.32,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Severn R at Pindari Dam W/L,2.00pm Thu,516.09,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Severn R at Ashford,2.00pm Thu,1.28,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Macintyre R at Holdfast,2.00pm Thu,1.70,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Quart Pot Ck U/S Storm King Dam,12.37pm Thu,1.69,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Mountain Station Ck at Mt Stat Ck,2.19pm Thu,0.35,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Quart Pot Ck at Storm King Dam HW,11.59am Thu,0.09,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Quart Pot Ck at Dalcouth Road,1.24pm Thu,1.05,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Bemboka R at Morans Crossing,3.30pm Thu,1.09,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Double Ck near Brogo,3.30pm Thu,1.05,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Fitzroy R at Laurel Bank,12.00pm Thu,0.50,rising,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Clarence R at Yamba,3.16pm Thu,0.76,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Thomson R Stonehenge (West),2.10pm Thu,1.08,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Thomson R at Bogewong,12.00pm Thu,1.69,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Darr R at Darr Auto,2.00pm Thu,1.81,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Black Gin Ck at Ilfracombe,12.00pm Thu,-0.04,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Thomson R at Longreach Auto,2.00pm Thu,1.33,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Landsborough R at Tragowel,12.00pm Thu,0.01,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Towerhill Ck at Gelebele,6.00am Thu,-0.02,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Cornish Ck at Bowen Downs,1.00pm Thu,0.56,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Wooli R at Entrance,3.15pm Thu,-0.07,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Wooli R at Caravan Park,3.15pm Thu,0.30,falling,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Clarence R at Maclean,3.15pm Thu,0.33,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Barcoo R at Mt Enniskillen,12.00pm Thu,-0.02,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Clarence R at Lawrence^,3.24pm Thu,0.45,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Coldstream R at Tyndale,3.15pm Thu,0.55,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Clarence R at Ulmarra,3.15pm Thu,0.60,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Clarence R at Grafton (Prince St),3.15pm Thu,0.78,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Clarence R at Rogans Br.,3.15pm Thu,0.69,rising,,2022-10-13 16:07:30.866648+11:00,NSW
Orara R at Bawden Bridge,3.00pm Thu,1.22,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Orara R at Glenreagh TM,3.00pm Thu,0.81,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Orara R at Karangi,3.00pm Thu,1.07,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Orara R at Orange Grove,3.05pm Thu,1.99,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Clarence R at Lilydale,3.00pm Thu,2.05,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Barcoo R at Tambo Lake,12.00pm Thu,-0.01,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Barcoo R at Gillespie,11.42am Thu,0.30,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Brogo R at North Brogo,3.30pm Thu,1.61,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Wilson R at Nockatunga,2.06pm Thu,1.47,rising,,2022-10-13 16:07:30.866648+11:00,QLD
Carmila Ck at Carmila,2.00pm Thu,0.97,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Burke R at Boulia,2.00pm Thu,1.17,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Georgina R at Roxborough Downs,2.00pm Thu,1.40,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Diamantina R at Birdsville TM,1.35pm Thu,1.24,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Farrars Ck at Diamantina Dev Rd,9.00am Thu,0.09,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Mayne R at Winton Jundah Rd,12.00pm Thu,0.12,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Diamantina R at Diamantina Lakes,2.00pm Thu,1.18,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Wokingham Ck at Leeson,9.00am Thu,-0.03,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Mills Ck at Oondooroo,2.00pm Thu,0.84,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
