Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Chaffey Dam,9.00am Mon,525.20,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Peel R D/S Chaffey Dam,9.00am Mon,1.49,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Peel R at Piallamore,9.12am Mon,1.51,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Peel R at Tamworth Water Supply,9.00am Mon,2.45,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Cockburn R at Mulla Crossing,9.00am Mon,0.72,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Cockburn R at Kootingal,8.57am Mon,1.05,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Peel R at Paradise Weir,7.36am Mon,-0.32,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Goonoo Goonoo Ck at Goonoo Goonoo,8.51am Mon,0.65,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Goonoo Goonoo Ck at Medows Ln,8.15am Mon,1.16,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Peel R at Tamworth Br,9.00am Mon,0.62,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Peel R at Appleby,9.00am Mon,1.66,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Peel R at Bective,9.00am Mon,1.72,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Peel R at Carroll Gap,9.00am Mon,1.62,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macdonald River,Macdonald River,Macdonald River,Macdonald River,Macdonald River,Macdonald River,2022-10-17 09:28:27.703927+11:00,NSW
Macdonald R at Woolbrook,8.15am Mon,1.36,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macdonald R at Retreat,9.05am Mon,1.19,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macdonald R at North Cuerindi,8.00am Mon,1.46,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Halls Ck at Ukolan,9.00am Mon,0.89,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Manilla River,Manilla River,Manilla River,Manilla River,Manilla River,Manilla River,2022-10-17 09:28:27.703927+11:00,NSW
Manilla R at Black Springs,9.00am Mon,0.87,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Ironbark Ck at Woodsreef,9.00am Mon,1.09,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Split Rock Dam,9.00am Mon,449.13,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Manilla R D/S Split Rock Dam,9.00am Mon,2.11,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Manilla R at Upper Manilla,9.00am Mon,0.66,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Manilla R at Brabri,9.00am Mon,1.15,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Manilla R at Manilla,9.00am Mon,1.73,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Mooki River,Mooki River,Mooki River,Mooki River,Mooki River,Mooki River,2022-10-17 09:28:27.703927+11:00,NSW
Warrah Ck at Old Warrah,9.00am Mon,1.21,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Yarraman Ck at Spring Ridge,9.00am Mon,0.38,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Mooki R at Caroona,9.00am Mon,1.18,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Mooki R at Breeza Station,9.00am Mon,1.28,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Mooki R at Ruvigne,9.00am Mon,1.93,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Coxs Creek,Coxs Creek,Coxs Creek,Coxs Creek,Coxs Creek,Coxs Creek,2022-10-17 09:28:27.703927+11:00,NSW
Bundella Ck at Bundella,9.00am Mon,0.09,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Bomera Ck at Bomera Creek,9.00am Mon,1.13,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Coxs Ck at Tambar Springs,9.00am Mon,1.13,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Coxs Ck at Boggabri,9.00am Mon,1.66,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Central Namoi to Boggabri,Central Namoi to Boggabri,Central Namoi to Boggabri,Central Namoi to Boggabri,Central Namoi to Boggabri,Central Namoi to Boggabri,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R at Keepit Dam,9.00am Mon,329.15,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R D/S Keepit Dam,9.00am Mon,1.84,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R at Gunnedah,9.00am Mon,2.69,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R at Boggabri,9.00am Mon,4.24,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Lower Namoi River,Lower Namoi River,Lower Namoi River,Lower Namoi River,Lower Namoi River,Lower Namoi River,2022-10-17 09:28:27.703927+11:00,NSW
Maules Ck at Avoca East,9.00am Mon,0.43,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R at Turrawan (Wallah),9.00am Mon,3.01,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Narrabri Ck at Narrabri,9.00am Mon,2.90,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Bohena Ck at Bohena Creek,9.00am Mon,0.69,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R at Mollee Weir,9.00am Mon,202.84,falling,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R D/S Mollee Weir,9.00am Mon,4.09,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R at Wee Waa (Glencoe),8.00am Mon,5.86,steady,minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R at Gunidgera Weir,9.00am Mon,191.08,falling,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R D/S Gunidgera Weir,9.00am Mon,8.32,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R at Gunidgera Offtake,9.00am Mon,3.44,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R D/S Weeta Weir,9.00am Mon,183.74,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Brigalow Ck at Tharlane,9.00am Mon,1.28,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R at Bullawa,9.00am Mon,5.61,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R at D/S Duncans junction,8.00am Mon,5.69,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R at Bugilbone,9.00am Mon,6.00,steady,moderate,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R at Goangra,9.00am Mon,6.20,steady,minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Pian Ck at Rossmore,9.00am Mon,1.96,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Pian Ck at Waminda,9.00am Mon,2.41,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Namoi R U/S Walgett,9.00am Mon,7.36,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Castlereagh River,Castlereagh River,Castlereagh River,Castlereagh River,Castlereagh River,Castlereagh River,2022-10-17 09:28:27.703927+11:00,NSW
Belar Ck at Warkton,9.00am Mon,0.35,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Castlereagh R at Coonabarabran,9.00am Mon,0.67,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Castlereagh R at Hidden Valley,9.00am Mon,0.69,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Castlereagh R at Binnaway,9.00am Mon,1.00,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Castlereagh R at Mendooran,8.00am Mon,1.46,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Castlereagh R at Lucas Br,9.00am Mon,1.64,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Castlereagh R at Gungalman,9.00am Mon,4.93,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Barwon River,Barwon River,Barwon River,Barwon River,Barwon River,Barwon River,2022-10-17 09:28:27.703927+11:00,NSW
Barwon R at Mungindi,9.00am Mon,6.43,steady,minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Barwon R at Presbury Weir,9.00am Mon,4.86,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Barwon R at Mogil Mogil,9.00am Mon,7.33,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Barwon R at Collarenebri,9.00am Mon,5.51,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Barwon R at Tara (U/S Namoi Jct),9.00am Mon,10.10,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Barwon R at Walgett,9.00am Mon,11.36,steady,minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Barwon R at Boorooma,8.00am Mon,13.20,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Barwon R at Brewarrina,9.00am Mon,8.46,falling,moderate,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
